id;url;highestBuyOrder;lowestSellOrder;sellsPerMonth;tracked;updatedAt;sellOrders;buyOrders
24265049;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20AK-47%20%7C%20Wasteland%20Rebel%20%28Factory%20New%29;88647;0.138606;0;false;1689251595694;0;0
6822846;https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20Desert%20Eagle%20%7C%20Heirloom%20%28Factory%20New%29;3949;6593;0;false;1689589693118;318;6
176097449;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Fade%20%28Factory%20New%29;115242;130000;0;false;1689335125120;315;5
158661657;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Autotronic%20%28Field-Tested%29;122164;180000;0;false;1689335130126;393;1
1547918;https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Fire%20Serpent%20%28Minimal%20Wear%29;135694;155000;0;false;1689335135140;1513;1
162310478;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Lore%20%28Field-Tested%29;111936;153462;0;false;1689251620722;0;0
157485807;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Black%20Laminate%20%28Minimal%20Wear%29;101723;0;0;false;1689251625701;0;0
30709778;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20M9%20Bayonet%20%7C%20Doppler%20%28Factory%20New%29;98855;134149;0;false;1689335150143;1435;5
9868704;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20M9%20Bayonet%20%7C%20Crimson%20Web%20%28Field-Tested%29;74767;110717;0;false;1689335155176;279;3
9869225;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Slaughter%20%28Minimal%20Wear%29;110615;160890;0;false;1689335160169;717;1
49473121;https://steamcommunity.com/market/listings/730/M4A1-S%20%7C%20Hot%20Rod%20%28Minimal%20Wear%29;65895;118900;0;false;1689335165142;406;1
175880996;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Butterfly%20Knife%20%7C%20Damascus%20Steel%20%28Field-Tested%29;100475;136363;0;false;1689335170167;259;2
10356467;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Night%20%28Minimal%20Wear%29;75454;111258;0;false;1689335175162;255;1
